#EDL	Date	26.3.2019	Local Time	 3:23:35		
Rate (Hz)	Main array								Hub interface
128	element_1	element_2	element_3	element_4	element_5	element_6	element_7	element_8	element_1
Time	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Digital Outputs
s	m	m	m	m	m	m	m	m	
02:51:36.805	-0.00105778	-0.00156850	-0.00178168	-0.00131114	-0.00160636	-0.00180902	-0.00231171	-0.00117569	0
02:51:36.813	-0.00105778	-0.00156850	-0.00178168	-0.00137356	-0.00160636	-0.00180902	-0.00233113	-0.00120046	0
02:51:36.820	-0.00103520	-0.00153973	-0.00174929	-0.00134235	-0.00157398	-0.00180902	-0.00231171	-0.00120046	0
02:51:36.828	-0.00103520	-0.00156850	-0.00171690	-0.00134235	-0.00160636	-0.00180902	-0.00233113	-0.00120046	0
02:51:36.836	-0.00103520	-0.00153973	-0.00171690	-0.00134235	-0.00157398	-0.00183141	-0.00233113	-0.00129953	0
02:51:36.844	-0.00103520	-0.00153973	-0.00168450	-0.00137356	-0.00157398	-0.00183141	-0.00233113	-0.00127477	0
02:51:36.852	-0.00099004	-0.00156850	-0.00161972	-0.00134235	-0.00160636	-0.00183141	-0.00231171	-0.00127477	0
02:51:36.859	-0.00096747	-0.00156850	-0.00161972	-0.00131114	-0.00154161	-0.00180902	-0.00229228	-0.00132430	0
02:51:36.867	-0.00094489	-0.00156850	-0.00161972	-0.00134235	-0.00157398	-0.00185381	-0.00233113	-0.00137384	0
02:51:36.875	-0.00096747	-0.00156850	-0.00161972	-0.00137356	-0.00154161	-0.00185381	-0.00229228	-0.00134907	0
02:51:36.883	-0.00092231	-0.00159727	-0.00152254	-0.00134235	-0.00150924	-0.00183141	-0.00229228	-0.00134907	0
02:51:36.891	-0.00087716	-0.00159727	-0.00152254	-0.00134235	-0.00150924	-0.00183141	-0.00229228	-0.00139860	0
02:51:36.898	-0.00087716	-0.00159727	-0.00155493	-0.00137356	-0.00147686	-0.00180902	-0.00227286	-0.00139860	0
02:51:36.906	-0.00083200	-0.00162604	-0.00152254	-0.00140477	-0.00147686	-0.00180902	-0.00225344	-0.00137384	0
02:51:36.914	-0.00080943	-0.00162604	-0.00149015	-0.00137356	-0.00144449	-0.00180902	-0.00227286	-0.00142337	0
02:51:36.922	-0.00080943	-0.00168358	-0.00152254	-0.00143598	-0.00144449	-0.00180902	-0.00223402	-0.00144814	0
02:51:36.930	-0.00078685	-0.00168358	-0.00149015	-0.00140477	-0.00141212	-0.00183141	-0.00219517	-0.00142337	0
02:51:36.938	-0.00076427	-0.00171235	-0.00149015	-0.00140477	-0.00137974	-0.00183141	-0.00221459	-0.00147291	0
02:51:36.945	-0.00076427	-0.00176989	-0.00145775	-0.00140477	-0.00131499	-0.00178663	-0.00217575	-0.00144814	0
02:51:36.953	-0.00071912	-0.00176989	-0.00145775	-0.00143598	-0.00128262	-0.00178663	-0.00217575	-0.00144814	0
02:51:36.961	-0.00071912	-0.00179866	-0.00145775	-0.00143598	-0.00131499	-0.00180902	-0.00217575	-0.00144814	0
